Unnamed: 0,Share link identifier,Category,Name,Credits,Base layer,Custom slider ticks,Start date,End date,Step,URL,Scaling,Color Scaling,Map Type,Color,External GeoJSON,Name Key,Show Graph,Graph Title,Graph Plot Colors,Graph Plots First Visible,Graph X-Axis Label,Graph Y-Axis Label,Graph Y-Axis Min,Graph Y-Axis Max,Graph X-Axis Label Interval,Legend Content,Legend Key,Load Data Function,Set Data Function,Number of Levels,Number of Attributes,Vertex Shader,Fragment Shader,Draw Function,Playback Rate,Master Playback Rate,Colormap Src,Layer Description,Featured Themes,Draw Options,Set Data Options,Extras Options
True,plume_20190401,Plume Viz,PARDUMP 2019-04-01,CREATE Lab,bdrk,,20190401010000,20190402010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190401.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190402,Plume Viz,PARDUMP 2019-04-02,CREATE Lab,bdrk,,20190402010000,20190403010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190402.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190403,Plume Viz,PARDUMP 2019-04-03,CREATE Lab,bdrk,,20190403010000,20190404010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190403.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190404,Plume Viz,PARDUMP 2019-04-04,CREATE Lab,bdrk,,20190404010000,20190405010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190404.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190405,Plume Viz,PARDUMP 2019-04-05,CREATE Lab,bdrk,,20190405010000,20190406010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190405.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190406,Plume Viz,PARDUMP 2019-04-06,CREATE Lab,bdrk,,20190406010000,20190407010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190406.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190407,Plume Viz,PARDUMP 2019-04-07,CREATE Lab,bdrk,,20190407010000,20190408010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190407.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190408,Plume Viz,PARDUMP 2019-04-08,CREATE Lab,bdrk,,20190408010000,20190409010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190408.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190409,Plume Viz,PARDUMP 2019-04-09,CREATE Lab,bdrk,,20190409010000,20190410010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190409.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190410,Plume Viz,PARDUMP 2019-04-10,CREATE Lab,bdrk,,20190410010000,20190411010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190410.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190411,Plume Viz,PARDUMP 2019-04-11,CREATE Lab,bdrk,,20190411010000,20190412010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190411.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190412,Plume Viz,PARDUMP 2019-04-12,CREATE Lab,bdrk,,20190412010000,20190413010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190412.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190413,Plume Viz,PARDUMP 2019-04-13,CREATE Lab,bdrk,,20190413010000,20190414010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190413.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190414,Plume Viz,PARDUMP 2019-04-14,CREATE Lab,bdrk,,20190414010000,20190415010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190414.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190415,Plume Viz,PARDUMP 2019-04-15,CREATE Lab,bdrk,,20190415010000,20190416010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190415.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190416,Plume Viz,PARDUMP 2019-04-16,CREATE Lab,bdrk,,20190416010000,20190417010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190416.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190417,Plume Viz,PARDUMP 2019-04-17,CREATE Lab,bdrk,,20190417010000,20190418010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190417.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190418,Plume Viz,PARDUMP 2019-04-18,CREATE Lab,bdrk,,20190418010000,20190419010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190418.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190419,Plume Viz,PARDUMP 2019-04-19,CREATE Lab,bdrk,,20190419010000,20190420010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190419.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190420,Plume Viz,PARDUMP 2019-04-20,CREATE Lab,bdrk,,20190420010000,20190421010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190420.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190421,Plume Viz,PARDUMP 2019-04-21,CREATE Lab,bdrk,,20190421010000,20190422010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190421.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190422,Plume Viz,PARDUMP 2019-04-22,CREATE Lab,bdrk,,20190422010000,20190423010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190422.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190423,Plume Viz,PARDUMP 2019-04-23,CREATE Lab,bdrk,,20190423010000,20190424010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190423.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190424,Plume Viz,PARDUMP 2019-04-24,CREATE Lab,bdrk,,20190424010000,20190425010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190424.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190425,Plume Viz,PARDUMP 2019-04-25,CREATE Lab,bdrk,,20190425010000,20190426010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190425.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190426,Plume Viz,PARDUMP 2019-04-26,CREATE Lab,bdrk,,20190426010000,20190427010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190426.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190427,Plume Viz,PARDUMP 2019-04-27,CREATE Lab,bdrk,,20190427010000,20190428010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190427.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190428,Plume Viz,PARDUMP 2019-04-28,CREATE Lab,bdrk,,20190428010000,20190429010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190428.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
True,plume_20190429,Plume Viz,PARDUMP 2019-04-29,CREATE Lab,bdrk,,20190429010000,20190430010000,10,https://cocalc-www.createlab.org/pardumps/plume_20190429.bin,,,points,,,,,,,,,,,,,,,WebGLVectorTile2.prototype._loadData,WebGLVectorTile2.prototype._setBufferData,,9,WebGLVectorTile2.particleVertexShader,WebGLVectorTile2.particleFragmentShader,WebGLVectorTile2.prototype._drawParticles,,,,,,"{""pointSize"": 2.0, ""sfactor"": ""ONE"", ""dfactor"": ""ONE_MINUS_SRC_ALPHA"" }","{""hasAltitude"":true, ""startDateMargin"":14400}",
